conversation	sent_id	token_id	token
2	2	7	finished
2	2	8	preparing
2	2	9	a
2	2	10	big
2	2	11	family
2	2	12	dinner
2	2	13	.
			
2	3	1	Oh
2	3	2	,
2	3	3	that
2	3	4	sounds
2	3	5	like
2	3	6	a
2	3	7	lot
2	3	8	of
2	3	9	work
2	3	10	!
2	3	11	When
2	3	12	do
2	3	13	you
2	3	14	usually
2	3	15	start
2	3	16	cooking
2	3	17	?
			
2	4	1	Usually
2	4	2	around
2	4	3	midday
2	4	4	to
2	4	5	have
2	4	6	everything
2	4	7	ready
2	4	8	by
2	4	9	dinner
2	4	10	time
2	4	11	.
			
2	5	1	What
2	5	2	did
2	5	3	you
2	5	4	cook
2	5	5	for
2	5	6	today
2	5	7	's
2	5	8	dinner
2	5	9	?
			
2	6	1	I
2	6	2	made
2	6	3	roasted
2	6	4	chicken
2	6	5	,
2	6	6	mashed
2	6	7	potatoes
2	6	8	,
2	6	9	and
2	6	10	some
2	6	11	greens
2	6	12	.
			
2	7	1	Sounds
2	7	2	delicious
2	7	3	!
2	7	4	How
2	7	5	do
2	7	6	you
2	7	7	manage
2	7	8	to
2	7	9	make
2	7	10	such
2	7	11	a
2	7	12	big
2	7	13	meal
2	7	14	?
			
2	8	1	I
2	8	2	prepare
2	8	3	a
2	8	4	menu
2	8	5	the
2	8	6	night
2	8	7	before
2	8	8	and
2	8	9	start
2	8	10	with
2	8	11	tasks
2	8	12	that
2	8	13	can
2	8	14	be
2	8	15	done
2	8	16	ahead
2	8	17	of
2	8	18	time
2	8	19	.
			
			
3	1	1	How
3	1	2	often
3	1	3	do
3	1	4	you
3	1	5	cook
3	1	6	your
3	1	7	meals
3	1	8	during
3	1	9	the
3	1	10	week
3	1	11	?
			
3	2	1	I
3	2	2	usually
3	2	3	cook
3	2	4	every
3	2	5	day
3	2	6	for
3	2	7	dinner
3	2	8	,
3	2	9	but
3	2	10	only
3	2	11	have
3	2	12	simple
3	2	13	dishes
3	2	14	like
3	2	15	soup
3	2	16	or
3	2	17	pasta
3	2	18	.
			
3	3	1	Do
3	3	2	you
3	3	3	enjoy
3	3	4	planning
3	3	5	your
3	3	6	meals
3	3	7	ahead
3	3	8	of
3	3	9	time
3	3	10	?
			
3	4	1	Not
3	4	2	really
3	4	3	,
3	4	4	I
3	4	5	just
3	4	6	check
3	4	7	the
3	4	8	fridge
3	4	9	each
3	4	10	day
3	4	11	to
3	4	12	see
3	4	13	what
3	4	14	I
3	4	15	can
3	4	16	make
3	4	17	quickly
3	4	18	.
			
3	5	1	How
3	5	2	do
3	5	3	you
3	5	4	handle
3	5	5	the
3	5	6	housework
3	5	7	tasks
3	5	8	around
3	5	9	the
3	5	10	house
3	5	11	?
			
3	6	1	I
3	6	2	do
3	6	3	a
3	6	4	little
3	6	5	each
3	6	6	day
3	6	7	to
3	6	8	keep
3	6	9	things
3	6	10	tidy
3	6	11	,
3	6	12	like
3	6	13	dusting
3	6	14	or
3	6	15	vacuuming
3	6	16	.
			
3	7	1	When
3	7	2	do
3	7	3	you
3	7	4	find
3	7	5	the
3	7	6	time
3	7	7	to
3	7	8	do
3	7	9	the
3	7	10	laundry
3	7	11	?
			
3	8	1	I
3	8	2	usually
3	8	3	do
3	8	4	laundry
3	8	5	on
3	8	6	Saturdays
3	8	7	,
3	8	8	it
3	8	9	's
3	8	10	become
3	8	11	my
3	8	12	routine
3	8	13	.
			
3	9	1	It
3	9	2	sounds
3	9	3	like
3	9	4	you
3	9	5	have
3	9	6	a
3	9	7	good
3	9	8	system
3	9	9	in
3	9	10	place
3	9	11	to
3	9	12	manage
3	9	13	everything
3	9	14	.
			
			
4	1	1	What
4	1	2	do
4	1	3	you
4	1	4	usually
4	1	5	do
4	1	6	first
4	1	7	after
4	1	8	waking
4	1	9	up
4	1	10	in
4	1	11	the
4	1	12	morning
4	1	13	?
			
4	2	1	I
4	2	2	usually
4	2	3	head
4	2	4	to
4	2	5	the
4	2	6	kitchen
4	2	7	to
4	2	8	make
4	2	9	myself
4	2	10	a
4	2	11	cup
4	2	12	of
4	2	13	tea
4	2	14	.
			
4	3	1	What
4	3	2	time
4	3	3	do
4	3	4	you
4	3	5	usually
4	3	6	have
4	3	7	your
4	3	8	breakfast
4	3	9	?
			
4	4	1	I
4	4	2	usually
4	4	3	have
4	4	4	my
4	4	5	breakfast
4	4	6	at
4	4	7	7:30
4	4	8	in
4	4	9	the
4	4	10	morning
4	4	11	.
			
4	5	1	Do
4	5	2	you
4	5	3	have
4	5	4	any
4	5	5	particular
4	5	6	breakfast
4	5	7	food
4	5	8	that
4	5	9	you
4	5	10	like
4	5	11	to
4	5	12	eat
4	5	13	?
			
4	6	1	Yes
4	6	2	,
4	6	3	I
4	6	4	usually
4	6	5	have
4	6	6	some
4	6	7	toast
4	6	8	with
4	6	9	jam
4	6	10	and
4	6	11	a
4	6	12	cup
4	6	13	of
4	6	14	fruit
4	6	15	juice
4	6	16	.
			
4	7	1	How
4	7	2	do
4	7	3	you
4	7	4	spend
4	7	5	your
4	7	6	mornings
4	7	7	after
4	7	8	breakfast
4	7	9	?
			
4	8	1	I
4	8	2	spend
4	8	3	my
4	8	4	mornings
4	8	5	by
4	8	6	reading
4	8	7	the
4	8	8	newspaper
4	8	9	and
4	8	10	watering
4	8	11	my
4	8	12	plants
4	8	13	.
			
4	9	1	Is
4	9	2	there
4	9	3	any
4	9	4	household
4	9	5	chore
4	9	6	that
4	9	7	you
4	9	8	usually
4	9	9	do
4	9	10	in
4	9	11	the
4	9	12	mornings
4	9	13	?
			
4	10	1	Yes
4	10	2	,
4	10	3	I
4	10	4	usually
4	10	5	sweep
4	10	6	the
4	10	7	floors
4	10	8	to
4	10	9	keep
4	10	10	the
4	10	11	house
4	10	12	clean
4	10	13	.
			
			
5	1	1	How
5	1	2	do
5	1	3	you
5	1	4	usually
5	1	5	spend
5	1	6	your
5	1	7	mornings
5	1	8	at
5	1	9	home
5	1	10	?
			
5	2	1	I
5	2	2	start
5	2	3	the
5	2	4	day
5	2	5	by
5	2	6	taking
5	2	7	my
5	2	8	medications
5	2	9	and
5	2	10	then
5	2	11	preparing
5	2	12	a
5	2	13	light
5	2	14	breakfast
5	2	15	.
			
5	3	1	That
5	3	2	sounds
5	3	3	like
5	3	4	a
5	3	5	nice
5	3	6	routine
5	3	7	.
5	3	8	When
5	3	9	do
5	3	10	you
5	3	11	usually
5	3	12	do
5	3	13	your
5	3	14	grocery
5	3	15	shopping
5	3	16	?
			
5	4	1	I
5	4	2	prefer
5	4	3	going
5	4	4	on
5	4	5	weekdays
5	4	6	in
5	4	7	the
5	4	8	morning
5	4	9	to
5	4	10	avoid
5	4	11	the
5	4	12	crowd
5	4	13	at
5	4	14	the
5	4	15	store
5	4	16	.
			
5	5	1	Smart
5	5	2	choice
5	5	3	.
5	5	4	Do
5	5	5	you
5	5	6	enjoy
5	5	7	cooking
5	5	8	new
5	5	9	recipes
5	5	10	for
5	5	11	dinner
5	5	12	?
			
5	6	1	Sometimes
5	6	2	,
5	6	3	I
5	6	4	like
5	6	5	trying
5	6	6	out
5	6	7	new
5	6	8	dishes
5	6	9	when
5	6	10	I
5	6	11	have
5	6	12	the
5	6	13	time
5	6	14	in
5	6	15	the
5	6	16	evening
5	6	17	.
			
5	7	1	That
5	7	2	must
5	7	3	be
5	7	4	fun
5	7	5	.
5	7	6	When
5	7	7	do
5	7	8	you
5	7	9	typically
5	7	10	do
5	7	11	your
5	7	12	laundry
5	7	13	during
5	7	14	the
5	7	15	week
5	7	16	?
			
5	8	1	I
5	8	2	usually
5	8	3	do
5	8	4	my
5	8	5	laundry
5	8	6	on
5	8	7	Saturdays
5	8	8	when
5	8	9	I
5	8	10	have
5	8	11	the
5	8	12	most
5	8	13	time
5	8	14	to
5	8	15	take
5	8	16	care
5	8	17	of
5	8	18	it
5	8	19	.
			
5	9	1	It
5	9	2	's
5	9	3	good
			
			
6	1	1	How
6	1	2	do
6	1	3	you
6	1	4	usually
6	1	5	spend
6	1	6	your
6	1	7	mornings
6	1	8	?
			
6	2	1	I
6	2	2	start
6	2	3	by
6	2	4	making
6	2	5	myself
6	2	6	a
6	2	7	cup
6	2	8	of
6	2	9	coffee
6	2	10	.
			
6	3	1	Do
6	3	2	you
6	3	3	enjoy
6	3	4	cooking
6	3	5	your
6	3	6	meals
6	3	7	?
			
6	4	1	I
6	4	2	prefer
6	4	3	cooking
6	4	4	classics
6	4	5	like
6	4	6	stew
6	4	7	and
6	4	8	potatoes
6	4	9	.
			
6	5	1	When
6	5	2	do
6	5	3	you
6	5	4	typically
6	5	5	clean
6	5	6	your
6	5	7	house
6	5	8	?
			
6	6	1	I
6	6	2	prefer
6	6	3	Thursdays
6	6	4	for
6	6	5	thorough
6	6	6	cleaning
6	6	7	.
			
6	7	1	How
6	7	2	about
6	7	3	doing
6	7	4	the
6	7	5	laundry
6	7	6	?
			
6	8	1	I
6	8	2	wash
6	8	3	clothes
6	8	4	every
6	8	5	Monday
6	8	6	without
6	8	7	fail
6	8	8	.
			
6	9	1	Which
6	9	2	house
6	9	3	chore
6	9	4	do
6	9	5	you
6	9	6	like
6	9	7	the
6	9	8	least
6	9	9	?
			
6	10	1	I
6	10	2	really
6	10	3	dislike
6	10	4	taking
6	10	5	out
6	10	6	the
6	10	7	trash
6	10	8	from
6	10	9	the
6	10	10	kitchen
6	10	11	.
			
			
7	1	1	How
7	1	2	do
7	1	3	you
7	1	4	usually
7	1	5	start
7	1	6	your
7	1	7	day
7	1	8	?
			
7	2	1	In
7	2	2	the
7	2	3	morning
7	2	4	,
7	2	5	I
7	2	6	wake
7	2	7	up
7	2	8	and
7	2	9	prepare
7	2	10	breakfast
7	2	11	for
7	2	12	myself
7	2	13	.
			
7	3	1	That
7	3	2	's
7	3	3	nice
7	3	4	!
7	3	5	What
7	3	6	's
7	3	7	your
7	3	8	go
7	3	9	-
7	3	10	to
7	3	11	breakfast
7	3	12	?
			
7	4	1	I
7	4	2	always
7	4	3	have
7	4	4	a
7	4	5	bowl
7	4	6	of
7	4	7	oatmeal
7	4	8	and
7	4	9	a
7	4	10	cup
7	4	11	of
7	4	12	coffee
7	4	13	.
			
7	5	1	Sounds
7	5	2	healthy
7	5	3	.
7	5	4	How
7	5	5	about
7	5	6	cleaning
7	5	7	the
7	5	8	house
7	5	9	?
			
7	6	1	I
7	6	2	clean
7	6	3	one
7	6	4	room
7	6	5	a
7	6	6	day
7	6	7	to
7	6	8	keep
7	6	9	everything
7	6	10	tidy
7	6	11	.
			
7	7	1	Do
7	7	2	you
7	7	3	enjoy
7	7	4	doing
7	7	5	house
7	7	6	chores
7	7	7	?
			
7	8	1	Not
7	8	2	really
7	8	3	,
7	8	4	but
7	8	5	they
7	8	6	need
7	8	7	to
7	8	8	be
7	8	9	done
7	8	10	to
7	8	11	keep
7	8	12	the
7	8	13	house
7	8	14	organized
7	8	15	.
			
7	9	1	At
7	9	2	what
7	9	3	time
7	9	4	of
7	9	5	the
7	9	6	day
7	9	7	do
7	9	8	you
7	9	9	usually
7	9	10	do
7	9	11	your
7	9	12	cleaning
7	9	13	routine
7	9	14	?
			
			
8	1	1	How
8	1	2	was
8	1	3	your
8	1	4	day
8	1	5	today
8	1	6	?
			
8	2	1	I
8	2	2	woke
8	2	3	up
8	2	4	early
8	2	5	at
8	2	6	6
8	2	7	am
8	2	8	to
8	2	9	start
8	2	10	preparing
8	2	11	breakfast
8	2	12	.
			
8	3	1	What
8	3	2	did
8	3	3	you
8	3	4	have
8	3	5	for
8	3	6	breakfast
8	3	7	?
			
8	4	1	I
8	4	2	cooked
8	4	3	some
8	4	4	scrambled
8	4	5	eggs
8	4	6	and
8	4	7	paired
8	4	8	them
8	4	9	with
8	4	10	toast
8	4	11	and
8	4	12	a
8	4	13	cup
8	4	14	of
8	4	15	tea
8	4	16	.
			
8	5	1	Sounds
8	5	2	delicious
8	5	3	!
8	5	4	What
8	5	5	did
8	5	6	you
8	5	7	do
8	5	8	after
8	5	9	breakfast
8	5	10	?
			
8	6	1	I
8	6	2	did
8	6	3	some
8	6	4	light
8	6	5	cleaning
8	6	6	around
8	6	7	the
8	6	8	house
8	6	9	and
8	6	10	then
8	6	11	washed
8	6	12	a
8	6	13	load
8	6	14	of
8	6	15	laundry
8	6	16	.
			
8	7	1	That
8	7	2	's
8	7	3	productive
8	7	4	!
8	7	5	How
8	7	6	do
8	7	7	you
8	7	8	feel
8	7	9	now
8	7	10	after
8	7	11	getting
8	7	12	these
8	7	13	tasks
8	7	14	done
8	7	15	?
			
8	8	1	I
8	8	2	feel
8	8	3	accomplished
8	8	4	and
8	8	5	ready
8	8	6	to
8	8	7	relax
8	8	8	for
8	8	9	the
8	8	10	rest
8	8	11	of
8	8	12	the
8	8	13	day
8	8	14	.
			
			
9	1	1	How
9	1	2	are
9	1	3	you
9	1	4	doing
9	1	5	today
9	1	6	?
9	1	7	Have
9	1	8	you
9	1	9	been
9	1	10	preparing
9	1	11	your
9	1	12	meals
9	1	13	?
			
9	2	1	Yes
9	2	2	,
9	2	3	I
9	2	4	usually
9	2	5	prepare
9	2	6	my
9	2	7	meals
9	2	8	in
9	2	9	the
9	2	10	morning
9	2	11	and
9	2	12	keep
9	2	13	it
9	2	14	simple
9	2	15	.
			
9	3	1	That
9	3	2	's
9	3	3	good
9	3	4	to
9	3	5	hear
9	3	6	.
9	3	7	How
9	3	8	about
9	3	9	cleaning
9	3	10	the
9	3	11	house
9	3	12	?
9	3	13	When
9	3	14	do
9	3	15	you
9	3	16	usually
9	3	17	do
9	3	18	that
9	3	19	?
			
9	4	1	I
9	4	2	clean
9	4	3	the
9	4	4	house
9	4	5	in
9	4	6	the
9	4	7	afternoon
9	4	8	as
9	4	9	it
9	4	10	's
9	4	11	quieter
9	4	12	then
9	4	13	.
			
9	5	1	Nice
9	5	2	,
9	5	3	it
9	5	4	must
9	5	5	feel
9	5	6	refreshing
9	5	7	to
9	5	8	have
9	5	9	a
9	5	10	clean
9	5	11	space
9	5	12	.
9	5	13	Do
9	5	14	you
9	5	15	enjoy
9	5	16	cooking
9	5	17	new
9	5	18	recipes
9	5	19	?
			
9	6	1	I
9	6	2	stick
9	6	3	to
9	6	4	my
9	6	5	old
9	6	6	recipes
9	6	7	,
9	6	8	they
9	6	9	always
9	6	10	turn
9	6	11	out
9	6	12	delicious
9	6	13	.
			
9	7	1	That
9	7	2	's
9	7	3	great
9	7	4	!
9	7	5	How
9	7	6	about
9	7	7	using
9	7	8	household
9	7	9	appliances
9	7	10	?
9	7	11	When
9	7	12	do
9	7	13	you
9	7	14	typically
9	7	15	do
9	7	16	that
9	7	17	?
			
9	8	1	I
9	8	2	use
9	8	3	them
9	8	4	mostly
9	8	5	in
9	8	6	the
9	8	7	evening
9	8	8	after
9	8	9	dinner
9	8	10	to
9	8	11	simplify
9	8	12	my
9	8	13	tasks
9	8	14	.
			
			
10	1	1	When
10	1	2	do
10	1	3	you
10	1	4	usually
10	1	5	do
10	1	6	your
10	1	7	laundry
10	1	8	?
			
10	2	1	I
10	2	2	do
10	2	3	my
10	2	4	laundry
10	2	5	every
10	2	6	Sunday
10	2	7	morning
10	2	8	.
			
10	3	1	How
10	3	2	do
10	3	3	you
10	3	4	usually
10	3	5	clean
10	3	6	the
10	3	7	house
10	3	8	?
			
10	4	1	I
10	4	2	start
10	4	3	by
10	4	4	dusting
10	4	5	all
10	4	6	the
10	4	7	furniture
10	4	8	,
10	4	9	then
10	4	10	vacuum
10	4	11	the
10	4	12	floors
10	4	13	.
			
10	5	1	And
10	5	2	how
10	5	3	about
10	5	4	preparing
10	5	5	meals
10	5	6	,
10	5	7	when
10	5	8	do
10	5	9	you
10	5	10	usually
10	5	11	cook
10	5	12	?
			
10	6	1	I
10	6	2	cook
10	6	3	dinner
10	6	4	every
10	6	5	evening
10	6	6	around
10	6	7	6
10	6	8	p.m.
			
10	7	1	What
10	7	2	do
10	7	3	you
10	7	4	enjoy
10	7	5	the
10	7	6	most
10	7	7	in
10	7	8	terms
10	7	9	of
10	7	10	household
10	7	11	tasks
10	7	12	?
			
10	8	1	I
10	8	2	enjoy
10	8	3	organizing
10	8	4	and
10	8	5	decluttering
10	8	6	the
10	8	7	house
10	8	8	the
10	8	9	most
10	8	10	.
			
10	9	1	That
10	9	2	's
10	9	3	great
10	9	4	!
10	9	5	How
10	9	6	about
10	9	7	storing
10	9	8	food
10	9	9	and
10	9	10	leftovers
10	9	11	,
10	9	12	do
10	9	13	you
10	9	14	have
10	9	15	a
10	9	16	specific
10	9	17	system
10	9	18	for
10	9	19	that
10	9	20	?
			
10	10	1	Yes
10	10	2	,
10	10	3	I
10	10	4	always
10	10	5	label
10	10	6	and
10	10	7	date
10	10	8	leftovers
10	10	9	before
10	10	10	storing
10	10	11	them
10	10	12	in
10	10	13	the
10	10	14	fridge
10	10	15	.
			
			
11	1	1	How
11	1	2	do
11	1	3	you
11	1	4	usually
11	1	5	start
11	1	6	your
11	1	7	day
11	1	8	at
11	1	9	home
11	1	10	?
			
11	2	1	I
11	2	2	wake
11	2	3	up
11	2	4	early
11	2	5	,
11	2	6	make
11	2	7	my
11	2	8	bed
11	2	9	,
11	2	10	and
11	2	11	have
11	2	12	a
11	2	13	cup
11	2	14	of
11	2	15	coffee
11	2	16	.
			
11	3	1	And
11	3	2	what
11	3	3	about
11	3	4	breakfast
11	3	5	?
			
11	4	1	I
11	4	2	usually
11	4	3	have
11	4	4	some
11	4	5	toast
11	4	6	and
11	4	7	a
11	4	8	boiled
11	4	9	egg
11	4	10	.
			
11	5	1	Do
11	5	2	you
11	5	3	have
11	5	4	any
11	5	5	particular
11	5	6	chore
11	5	7	you
11	5	8	do
11	5	9	every
11	5	10	day
11	5	11	?
			
11	6	1	Yes
11	6	2	,
11	6	3	I
11	6	4	sweep
11	6	5	the
11	6	6	floor
11	6	7	and
11	6	8	water
11	6	9	the
11	6	10	plants
11	6	11	every
11	6	12	morning
11	6	13	.
			
11	7	1	When
11	7	2	do
11	7	3	you
11	7	4	typically
11	7	5	do
11	7	6	your
11	7	7	grocery
11	7	8	shopping
11	7	9	?
			
11	8	1	I
11	8	2	go
11	8	3	to
11	8	4	the
11	8	5	supermarket
11	8	6	on
11	8	7	Saturdays
11	8	8	in
11	8	9	the
11	8	10	late
11	8	11	morning
11	8	12	.
			
11	9	1	That
11	9	2	sounds
11	9	3	like
11	9	4	a
11	9	5	nice
11	9	6	routine
11	9	7	.
11	9	8	How
11	9	9	do
11	9	10	you
11	9	11	relax
11	9	12	in
11	9	13	the
11	9	14	evenings
11	9	15	?
			
			
12	1	1	How
12	1	2	often
12	1	3	do
12	1	4	you
12	1	5	cook
12	1	6	your
12	1	7	meals
12	1	8	?
			
12	2	1	I
12	2	2	usually
12	2	3	cook
12	2	4	breakfast
12	2	5	and
12	2	6	dinner
12	2	7	every
12	2	8	day
12	2	9	.
			
12	3	1	What
12	3	2	's
12	3	3	your
12	3	4	favorite
12	3	5	dish
12	3	6	to
12	3	7	cook
12	3	8	for
12	3	9	dinner
12	3	10	?
			
12	4	1	I
12	4	2	really
12	4	3	enjoy
12	4	4	making
12	4	5	a
12	4	6	simple
12	4	7	pasta
12	4	8	with
12	4	9	tomato
12	4	10	sauce
12	4	11	.
			
12	5	1	When
12	5	2	do
12	5	3	you
12	5	4	usually
12	5	5	do
12	5	6	your
12	5	7	laundry
12	5	8	?
			
12	6	1	I
12	6	2	try
12	6	3	to
12	6	4	do
12	6	5	laundry
12	6	6	twice
12	6	7	a
12	6	8	week
12	6	9	,
12	6	10	on
12	6	11	Wednesdays
12	6	12	and
12	6	13	Sundays
12	6	14	.
			
12	7	1	How
12	7	2	do
12	7	3	you
12	7	4	manage
12	7	5	food
12	7	6	storage
12	7	7	in
12	7	8	your
12	7	9	kitchen
12	7	10	?
			
12	8	1	I
12	8	2	organize
12	8	3	my
12	8	4	fridge
12	8	5	to
12	8	6	store
12	8	7	fresh
12	8	8	ingredients
12	8	9	and
12	8	10	use
12	8	11	my
12	8	12	pantry
12	8	13	for
12	8	14	dry
12	8	15	goods
12	8	16	.
			
12	9	1	Do
12	9	2	you
12	9	3	have
12	9	4	a
12	9	5	specific
12	9	6	routine
12	9	7	for
12	9	8	cleaning
12	9	9	the
12	9	10	house
12	9	11	?
			
12	10	1	Yes
12	10	2	,
12	10	3	I
12	10	4	do
12	10	5	general
12	10	6	cleaning
12	10	7	on
12	10	8	Saturdays
12	10	9	and
12	10	10	deep
12	10	11	cleaning
12	10	12	once
12	10	13	a
12	10	14	month
12	10	15	.
			
			
13	1	1	How
13	1	2	do
13	1	3	you
13	1	4	usually
13	1	5	plan
13	1	6	your
13	1	7	meals
13	1	8	for
13	1	9	the
13	1	10	week
13	1	11	?
			
13	2	1	I
13	2	2	sit
13	2	3	down
13	2	4	on
13	2	5	Sunday
13	2	6	afternoons
13	2	7	and
13	2	8	make
13	2	9	a
13	2	10	meal
13	2	11	plan
13	2	12	for
13	2	13	each
13	2	14	day
13	2	15	.
			
13	3	1	Sounds
13	3	2	like
13	3	3	a
13	3	4	good
13	3	5	strategy
13	3	6	!
13	3	7	When
13	3	8	do
13	3	9	you
13	3	10	normally
13	3	11	go
13	3	12	grocery
13	3	13	shopping
13	3	14	?
			
13	4	1	I
13	4	2	tend
13	4	3	to
13	4	4	go
13	4	5	shopping
13	4	6	on
13	4	7	Mondays
13	4	8	to
13	4	9	get
13	4	10	everything
13	4	11	fresh
13	4	12	for
13	4	13	the
13	4	14	week
13	4	15	.
			
13	5	1	And
13	5	2	how
13	5	3	about
13	5	4	cooking
13	5	5	the
13	5	6	meals
13	5	7	during
13	5	8	the
13	5	9	week
13	5	10	?
			
13	6	1	I
13	6	2	start
13	6	3	cooking
13	6	4	around
13	6	5	dinner
13	6	6	time
13	6	7	,
13	6	8	early
13	6	9	preparation
13	6	10	make
13	6	11	things
13	6	12	easier
13	6	13	.
			
13	7	1	That
13	7	2	's
13	7	3	efficient
13	7	4	.
13	7	5	When
13	7	6	do
13	7	7	you
13	7	8	usually
13	7	9	do
13	7	10	your
13	7	11	laundry
13	7	12	?
			
13	8	1	I
13	8	2	do
13	8	3	laundry
13	8	4	on
13	8	5	Thursdays
13	8	6	,
13	8	7	a
13	8	8	routine
13	8	9	that
13	8	10	I
13	8	11	've
13	8	12	stuck
13	8	13	to
13	8	14	for
13	8	15	a
13	8	16	long
13	8	17	time
13	8	18	.
			
			
14	1	1	How
14	1	2	often
14	1	3	do
14	1	4	you
14	1	5	prepare
14	1	6	meals
14	1	7	at
14	1	8	home
14	1	9	?
			
14	2	1	I
14	2	2	try
14	2	3	to
14	2	4	cook
14	2	5	every
14	2	6	day
14	2	7	to
14	2	8	keep
14	2	9	myself
14	2	10	busy
14	2	11	and
14	2	12	eat
14	2	13	healthy
14	2	14	.
			
14	3	1	What
14	3	2	is
14	3	3	your
14	3	4	favorite
14	3	5	dish
14	3	6	to
14	3	7	prepare
14	3	8	?
			
14	4	1	I
14	4	2	enjoy
14	4	3	making
14	4	4	chicken
14	4	5	curry
14	4	6	the
14	4	7	most
14	4	8	.
			
14	5	1	Do
14	5	2	you
14	5	3	follow
14	5	4	a
14	5	5	specific
14	5	6	recipe
14	5	7	or
14	5	8	like
14	5	9	to
14	5	10	experiment
14	5	11	with
14	5	12	different
14	5	13	spices
14	5	14	?
			
14	6	1	I
14	6	2	have
14	6	3	a
14	6	4	family
14	6	5	recipe
14	6	6	that
14	6	7	I
14	6	8	stick
14	6	9	to
14	6	10	,
14	6	11	it
14	6	12	never
14	6	13	fails
14	6	14	me
14	6	15	.
			
14	7	1	When
14	7	2	do
14	7	3	you
14	7	4	usually
14	7	5	prepare
14	7	6	meals
14	7	7	,
14	7	8	in
14	7	9	the
14	7	10	morning
14	7	11	or
14	7	12	evening
14	7	13	?
			
14	8	1	I
14	8	2	prefer
14	8	3	cooking
14	8	4	in
14	8	5	the
14	8	6	evening
14	8	7	so
14	8	8	I
14	8	9	can
14	8	10	enjoy
14	8	11	a
14	8	12	hot
14	8	13	dinner
14	8	14	later
14	8	15	.
			
			
15	1	1	Do
15	1	2	you
15	1	3	have
15	1	4	a
15	1	5	specific
15	1	6	routine
15	1	7	for
15	1	8	preparing
15	1	9	your
15	1	10	meals
15	1	11	each
15	1	12	day
15	1	13	?
			
15	2	1	Yes
15	2	2	,
15	2	3	I
15	2	4	usually
15	2	5	cook
15	2	6	dinner
15	2	7	in
15	2	8	the
15	2	9	evenings
15	2	10	around
15	2	11	6
15	2	12	o'clock
15	2	13	.
			
15	3	1	How
15	3	2	do
15	3	3	you
15	3	4	decide
15	3	5	on
15	3	6	what
15	3	7	to
15	3	8	cook
15	3	9	for
15	3	10	dinner
15	3	11	every
15	3	12	day
15	3	13	?
			
15	4	1	I
15	4	2	plan
15	4	3	the
15	4	4	menu
15	4	5	ahead
15	4	6	each
15	4	7	week
15	4	8	,
15	4	9	mostly
15	4	10	with
15	4	11	some
15	4	12	traditional
15	4	13	dishes
15	4	14	.
			
15	5	1	When
15	5	2	do
15	5	3	you
15	5	4	usually
15	5	5	go
15	5	6	grocery
15	5	7	shopping
15	5	8	to
15	5	9	get
15	5	10	the
15	5	11	ingredients
15	5	12	for
15	5	13	your
15	5	14	meals
15	5	15	?
			
15	6	1	I
15	6	2	go
15	6	3	grocery
15	6	4	shopping
15	6	5	every
15	6	6	Saturday
15	6	7	morning
15	6	8	to
15	6	9	make
15	6	10	sure
15	6	11	I
15	6	12	have
15	6	13	everything
15	6	14	I
15	6	15	need
15	6	16	.
			
15	7	1	How
